How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
100-500,1.0,1.0,Yes,,Yes,,No,No,Yes,No,31.0,Male,Sweden,,Sweden,
25-Jun,1.0,1.0,No,Has no place in an interview if it's not related to the job,No,Has no place in an interview if it's not related to the job,Maybe/Not sure,,Yes,Yes,33.0,Male,Ireland,,Ireland,
100-500,1.0,1.0,Yes,"Openness is the best policy, if  you don't get the job because of a physical condition then they aren't worth your time.",Yes,"Openness is the best policy, if  you don't get the job because of a physical condition then they aren't worth your time.","Yes, I experienced",No,Yes,Yes,37.0,Male,United Kingdom,,United Kingdom,
25-Jun,1.0,1.0,Yes,"imo, the employer has a right to know",Maybe,"imo, the employer has a right to know","Yes, I observed",No,No,No,27.0,male,Switzerland,,Switzerland,
25-Jun,1.0,1.0,No,"I don't like talking about health issues, especially if I don't really know them",No,"I don't like talking about health issues, especially if I don't really know them",Maybe/Not sure,No,No,No,31.0,male,Netherlands,,Netherlands,
,,,Maybe,If it's relevant to my availability.,Maybe,If it's relevant to my availability.,Maybe/Not sure,No,No,Don't Know,32.0,Male,Ukraine,,Ukraine,
More than 1000,1.0,1.0,Maybe,"Seem as negative, tech doesn't really require much physical health",No,"Seem as negative, tech doesn't really require much physical health",Maybe/Not sure,Yes,Possibly,Possibly,40.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Maybe,,Maybe,,No,No,Yes,No,32.0,Male,Spain,,Spain,
,,,Maybe,"mostly, no one can tell if you have a mental disorder or issues the way i talk and behave. if they ask me, i might share something but its never the topic of an interview in India. employers dont care how messed you are in your head when you are on the job so more likely they dont care while taking your interview.",Maybe,"mostly, no one can tell if you have a mental disorder or issues the way i talk and behave. if they ask me, i might share something but its never the topic of an interview in India. employers dont care how messed you are in your head when you are on the job so more likely they dont care while taking your interview.",No,Yes,Don't Know,Don't Know,31.0,Male,India,,United States of America,Arizona
100-500,1.0,1.0,No,,Maybe,,Maybe/Not sure,Maybe,Yes,Yes,33.0,Male,United States of America,Michigan,United States of America,Michigan
25-Jun,1.0,0.0,No,,No,,No,Yes,Yes,Possibly,21.0,,United States of America,Illinois,United States of America,Illinois
,,,Maybe,"Would depend on the physical health issue, it's current state, whether it might be perceived inappropriately negatively.",Maybe,"Would depend on the physical health issue, it's current state, whether it might be perceived inappropriately negatively.","Yes, I experienced",Maybe,Yes,Possibly,67.0,female,United States of America,California,United States of America,California
,,,Yes,,Maybe,,I've always been self-employed,No,Yes,Yes,35.0,Cis-male,United Kingdom,,United Kingdom,
,,,No,,No,,No,Maybe,No,No,46.0,male,Ireland,,Ireland,
More than 1000,0.0,1.0,Maybe,Would it be relevant to the role?,Maybe,Would it be relevant to the role?,Maybe/Not sure,Yes,Possibly,Yes,36.0,Male,United States of America,Texas,United States of America,Texas
25-Jun,1.0,1.0,Yes,If it had the possibility of affecting my work,No,If it had the possibility of affecting my work,No,,Yes,Yes,44.0,f,Australia,,Australia,
More than 1000,0.0,1.0,No,"An employer should not be asking about mental or physical health issues, only ability to perform functions required by the job description.",No,"An employer should not be asking about mental or physical health issues, only ability to perform functions required by the job description.",No,No,Don't Know,Possibly,57.0,Male,United States of America,Indiana,United States of America,Indiana
25-Jun,1.0,1.0,No,,No,,No,No,No,No,38.0,female,United States of America,Indiana,United States of America,Indiana
100-500,1.0,1.0,Yes,,Maybe,,No,Maybe,Possibly,Possibly,27.0,female,United States of America,California,United States of America,California
More than 1000,0.0,1.0,No,,No,,No,No,Yes,Yes,26.0,Male,Australia,,Australia,
More than 1000,1.0,1.0,Maybe,,No,,Maybe/Not sure,No,Yes,Possibly,36.0,m,United States of America,California,United States of America,California
5-Jan,1.0,1.0,Maybe,If it was relevant ,Maybe,If it was relevant ,Maybe/Not sure,No,Possibly,No,30.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,No,It's not relevant and illegal for them to discriminate at that point depending on the nature of the issue,No,It's not relevant and illegal for them to discriminate at that point depending on the nature of the issue,"Yes, I experienced",Yes,,Yes,35.0,Male,United Kingdom,,United Kingdom,
26-100,1.0,1.0,Maybe,"It depends of the kind of issue, if it is personal I'll just leave it, or if does not interfere with it.",No,"It depends of the kind of issue, if it is personal I'll just leave it, or if does not interfere with it.",No,No,No,Don't Know,30.0,Male,Argentina,,Argentina,
26-100,1.0,1.0,Maybe,,No,,Maybe/Not sure,No,No,Don't Know,32.0,Male,New Zealand,,New Zealand,
100-500,1.0,1.0,No,No point to do so,No,No point to do so,Maybe/Not sure,,No,Don't Know,35.0,male,France,,France,
500-1000,1.0,1.0,Yes,I feel that a physical health issue would be more obvious and easier to bring up.,Maybe,I feel that a physical health issue would be more obvious and easier to bring up.,No,No,No,No,33.0,Male,Australia,,Australia,
25-Jun,1.0,1.0,Maybe,It would depend on the circumstance.  How much I felt safe to do so without it interfering with the job prospect.,Maybe,It would depend on the circumstance.  How much I felt safe to do so without it interfering with the job prospect.,Maybe/Not sure,No,No,No,48.0,Male,New Zealand,,New Zealand,
26-100,1.0,1.0,No,"If it has no relevance to the job, there is no reason to",Maybe,"If it has no relevance to the job, there is no reason to",Maybe/Not sure,No,No,No,32.0,Male,Netherlands,,Netherlands,
100-500,1.0,1.0,Maybe,,No,,"Yes, I observed",,Yes,Yes,45.0,M,United Kingdom,,United Kingdom,
500-1000,1.0,1.0,No,,Maybe,,No,,No,No,31.0,male,Romania,,Romania,
More than 1000,0.0,1.0,No,It's none of their business. I think our laws protect us from having to declare health issues in an interview ,No,It's none of their business. I think our laws protect us from having to declare health issues in an interview ,"Yes, I experienced",Maybe,No,No,40.0,Male,Spain,,Spain,
26-100,0.0,1.0,Maybe,It would depend on the physical health issue and how it would affect my ability to work,Maybe,It would depend on the physical health issue and how it would affect my ability to work,No,No,No,No,37.0,male,United States of America,Missouri,United States of America,Missouri
100-500,1.0,1.0,No,not getting the job,No,not getting the job,Maybe/Not sure,,No,No,29.0,male,Poland,,Poland,
100-500,1.0,1.0,No,,No,,Maybe/Not sure,Maybe,Yes,Yes,26.0,male,United States of America,Massachusetts,United States of America,Massachusetts
100-500,1.0,0.0,No,I would be worried about it affecting their willingness to hire me.,No,I would be worried about it affecting their willingness to hire me.,"Yes, I experienced",Maybe,Yes,Possibly,51.0,Female,United States of America,Oregon,United States of America,Oregon
,,,Yes,,Yes,,"Yes, I experienced",Maybe,Yes,Yes,29.0,male,Germany,,Germany,
,,,Yes,,No,,"Yes, I experienced",Maybe,Yes,Yes,30.0,Male,United Kingdom,,United Kingdom,
26-100,1.0,1.0,No,The closest thing I have experienced related to a physical health issue is being pregnant. There is no way I would ever bring up being pregnant in an interview situation. Seems like an automatic way to NOT get a job.,No,The closest thing I have experienced related to a physical health issue is being pregnant. There is no way I would ever bring up being pregnant in an interview situation. Seems like an automatic way to NOT get a job.,"Yes, I experienced",Yes,Possibly,No,33.0,female,United States of America,Maryland,United States of America,Maryland
100-500,1.0,1.0,No,I don't want to be seen as difficult or needing accommodation.,No,I don't want to be seen as difficult or needing accommodation.,"Yes, I experienced",Yes,Yes,Yes,27.0,Male,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,Maybe,Depends on my comfort level,No,Depends on my comfort level,"Yes, I experienced",Maybe,No,No,42.0,Male,United States of America,Illinois,United States of America,New York
25-Jun,1.0,0.0,Yes,"I would be willing to bring up a non-work-problematic issue (bad knees, say). But one which might might me a bad employee: I could imagine being hesitant",Maybe,"I would be willing to bring up a non-work-problematic issue (bad knees, say). But one which might might me a bad employee: I could imagine being hesitant","Yes, I observed",No,No,No,47.0,male,Australia,,Australia,
26-100,1.0,1.0,Maybe,,No,,No,No,Possibly,Yes,31.0,Female,Netherlands,,Netherlands,
More than 1000,0.0,1.0,Maybe,So as not discourage my potential employer,Maybe,So as not discourage my potential employer,No,No,No,No,32.0,Male,United Kingdom,,United Kingdom,
,,,No,Not applicable ,No,Not applicable ,I've always been self-employed,,No,No,60.0,Male ,Netherlands,,Netherlands,
100-500,1.0,1.0,No,fear,No,fear,"Yes, I observed",Maybe,Yes,No,58.0,Male,Belgium,,Belgium,
,,,Yes,To ensure the working environment is adapted to my condition ,Maybe,To ensure the working environment is adapted to my condition ,"Yes, I observed",Maybe,No,No,38.0,Male,Belgium,,Belgium,
25-Jun,1.0,1.0,No,irrelevant for the job,No,irrelevant for the job,No,,Don't Know,Don't Know,42.0,female,Spain,,Spain,
100-500,1.0,1.0,Maybe,,No,,No,No,Yes,Yes,41.0,Male,Germany,,Germany,
More than 1000,1.0,1.0,Yes,To be honest,Maybe,To be honest,"Yes, I experienced",No,Possibly,Possibly,25.0,Male,India,,India,
More than 1000,1.0,1.0,Yes,,No,,Maybe/Not sure,No,Yes,No,31.0,Female,United States of America,California,United States of America,California
,,,No,because it could potentially hinder the result of my interview,No,because it could potentially hinder the result of my interview,No,Yes,Possibly,Don't Know,42.0,male,Argentina,,United States of America,Illinois
26-100,1.0,1.0,No,,No,,Maybe/Not sure,No,Don't Know,Yes,42.0,Male,United States of America,Texas,United States of America,Texas
More than 1000,1.0,1.0,No,You kidding?,No,You kidding?,"Yes, I experienced",,Yes,Yes,41.0,Male,United States of America,California,United States of America,California
More than 1000,1.0,1.0,Yes,No stigma on my physical health or coworkers. ,Maybe,No stigma on my physical health or coworkers. ,Maybe/Not sure,Yes,Yes,Yes,35.0,Non-binary,United States of America,Washington,United States of America,Washington
More than 1000,1.0,1.0,Maybe,"In my country doing this can decrease the chances to get the job, but this totally depends on the company ",No,"In my country doing this can decrease the chances to get the job, but this totally depends on the company ","Yes, I observed",,Yes,Don't Know,24.0,Male,Mexico,,Mexico,
